#name	length
group_1505	1191
group_1265	312
allC	1242
ncs1	1485
allB	1377
thiS	198
group_304	624
group_2370	768
group_391	591
group_504	2217
group_1107	1170
group_1986	972
group_2231	1374
group_170	765
group_737	627
group_1258	561
group_1713	1194
clpP	675
group_1420	612
rnd	1431
group_551	1632
group_548	525
group_401	588
tpiA	807
group_427	1218
metE	2379
trmI~~~gcd14	1167
group_2198	1710
group_1912	1077
eamA	1008
nadD	813
group_2351	690
group_2122	1038
group_296	3789
group_375	2070
group_224	654
smpB	498
group_872	1407
cas2	357
group_2158	1449
group_1067	489
group_1528	1305
prmC	999
miaA	1065
group_835	1755
group_995	1044
group_869	2052
group_326	1929
group_2153	1236
group_1199	2310
group_1389	915
group_1774	138
group_1196	1395
group_2274	1257
rnjA	2022
group_1975	996
group_1190	855
group_2286	339
group_2322	1092
group_1366	837
group_1979	981
group_745	1635
group_526	1797
group_1469	2202
group_122	588
group_719	462
group_2164	861
group_407	1368
group_1965	993
group_619	1206
group_1995	561
group_1882	816
group_879	2634
group_483	627
group_1034	1533
yicI	2841
ugpA	936
group_1280	1026
group_2	837
group_1349	1407
group_343	612
aspB	1572
group_880	1326
rlmB	999
group_303	2991
group_2107	582
trpB	1194
group_2335	903
group_1736	1179
group_2136	879
group_2312	771
glgP	2490
group_1886	2364
group_98	1317
group_1238	756
group_1580	702
group_1725	666
group_1450	468
group_2361	1302
dnaN	1125
rpmH	135
group_908	408
yidC	1014
group_1457	972
group_1458	1359
murJ~~~mviN	1797
group_2204	2394
group_1470	807
group_441	261
ppk1	2331
group_620	786
group_577	1011
tadB	576
gspF	648
tadG	378
group_1435	2406
group_1383	621
luxR	654
group_1159	462
group_1662	213
group_310	675
group_498	1281
group_51	966
pstC	1005
nCS2	1404
group_213	2505
group_927	402
group_759	453
group_1559	996
group_49	756
group_228	2451
group_1733	174
group_436	570
group_1330	2529
group_77	3522
group_735	318
group_138	351
group_538	387
group_139	915
group_539	462
group_910	1494
group_942	1437
group_1149	444
group_994	312
group_742	555
group_562	519
group_186	222
group_1686	201
group_192	198
group_1675	207
group_1492	357
group_1095	354
group_1570	447
group_1726	177
group_1368	294
group_516	543
group_1536	1251
group_736	318
pepO	2148
group_2171	1554
uvrC	2352
group_2126	1755
pheS	1155
group_21	1545
group_2023	279
group_1082	2892
group_596	507
group_2341	3045
group_2288	822
group_2165	132
group_1543	279
group_1887	405
group_2384	1809
group_992	846
group_149	1260
group_2277	1245
sufD	1290
group_825	6135
group_1346	1161
group_1523	6207
group_2383	759
group_1291	5718
group_514	3012
thiN	876
group_1114	1578
group_195	291
group_1708	186
group_1493	921
group_101	564
group_379	594
group_1663	213
group_1344	297
group_157	282
group_1664	213
group_178	2832
group_727	339
group_434	333
group_116	552
group_570	759
group_751	618
group_2068	921
group_561	636
group_182	2286
group_1680	204
group_919	459
group_1028	1179
group_2188	1545
group_220	1251
group_48	1446
group_123	9387
group_1077	1080
group_1355	1791
group_2301	279
group_918	405
group_603	1743
group_297	1647
group_2258	915
group_767	450
group_1402	807
group_1827	1128
group_1108	498
group_1405	609
group_96	384
group_2385	759
group_1809	1143
group_746	1635
group_2001	963
group_821	1578
sprT	747
hsdR	3111
group_1699	1203
group_212	2511
group_1785	129
group_246	2385
group_2143	507
group_372	1959
xseA	1479
group_1189	1737
group_1276	2883
group_764	1695
group_2367	768
group_84	2343
group_698	1665
group_9	750
group_99	612
group_1949	342
group_2246	2115
group_1581	537
group_466	1803
group_1236	2313
group_2282	1191
group_1086	1173
pstA	1053
pstB	780
group_658	771
group_100	2991
group_1871	1089
group_36	732
group_1665	213
group_437	570
group_921	1506
group_836	429
group_30	735
group_2230	840
group_952	393
group_1966	534
group_1015	1806
group_1981	120
group_1084	1113
group_1318	6930
pulA	5814
aroA	1386
group_2234	1554
group_670	2055
group_253	3516
group_1739	168
group_1636	228
mefA	1218
group_2130	1419
group_1045	732
group_1226	2298
cas2e	1083
group_957	342
group_57	6264
group_2329	2457
group_2105	7824
group_142	1287
group_2203	966
group_1889	1131
group_1044	483
group_1611	243
group_721	9360
group_8	1908
group_271	2373
nusG	912
citB	741
group_975	1392
group_1352	1308
sufS	1413
group_641	1317
group_2397	492
group_249	279
group_1315	447
group_321	2208
group_2163	801
group_1806	96
group_1113	162
group_298	1737
rpoB	3585
group_1480	675
group_2010	882
group_1342	366
group_696	1668
group_152	3417
pccA	1848
acpS	519
rfbB	1035
wcaG	843
group_852	1323
rgpF	1944
group_853	1152
glf	1230
group_1874	3567
group_617	2031
group_1897	1056
group_1690	195
group_986	384
group_1062	1437
group_1996	1677
group_1051	1833
group_847	423
group_1973	2448
nrdG	708
group_760	2268
galE	1011
group_311	2754
group_1422	723
group_286	1509
fadH2	1341
tenA	654
group_664	777
group_524	600
group_1043	858
group_1063	591
group_2307	1128
group_293	2283
group_1709	186
group_1676	207
group_2239	603
group_2161	468
mreD	630
ccmA~~~gsiA	2682
nlpC	768
group_1026	1026
group_2063	483
group_267	837
rluA	975
ftsZ	1209
glyS	1521
group_2250	396
group_2317	795
group_2066	924
recO	753
ycbJ	1659
group_2123	888
group_260	5904
group_1921	774
fabG	792
rspA	1284
fucO	1152
group_1917	1032
ssuC	810
lysP	1449
group_2336	3036
znuA	1191
rpsA	1506
group_1070	1638
group_1069	327
group_1071	282
group_367	1719
group_1353	1347
rsmE	798
ybeY	513
group_858	1233
group_917	555
hisJ	936
group_1869	966
group_366	1764
luxS	501
ubiC~~~mngR	729
group_465	1881
hemW~~~hemN	1323
fur	411
group_90	252
group_305	624
group_1562	1236
group_1563	564
groL	1626
group_1588	741
cspC	390
group_1418	1494
group_1401	3774
group_1135	1158
group_2345	711
prsA	1020
ruvB	1095
der	2223
adhP	1011
group_416	582
rpsB	969
yobV	1929
group_2134	375
group_1852	1104
group_102	699
group_1955	291
group_2018	954
group_25	375
group_2030	129
group_1681	204
group_1742	165
uvrA	3039
tkt	2220
group_1171	357
group_1987	972
group_1029	372
group_66	717
group_1972	459
group_1010	333
tsaD	1065
metL1	594
group_1337	2823
nucS	795
group_827	432
group_1927	1023
mviN	1806
trxB	954
group_1454	579
group_1023	801
group_980	213
group_1583	1374
zntA	2442
group_479	2721
group_786	1566
group_2112	1083
mgtA	2961
group_1951	1005
group_2138	879
group_10	750
dcd	582
group_2043	1272
group_2087	906
group_2261	822
group_1765	147
group_481	2046
group_1296	1389
group_2399	543
xerA	990
group_2173	900
group_1597	255
group_1502	273
atpA	1677
group_793	186
group_815	3312
group_1630	1251
group_117	2283
rplL	384
group_840	1491
potE	1656
abrB	702
group_1209	2898
group_1329	1308
cFF1	558
group_202	633
group_1572	2424
rph	765
group_1907	129
glpR	735
group_1793	1152
group_2019	954
group_1596	1284
msmF	972
group_2222	843
group_894	1527
group_275	8928
prs	1017
group_1642	225
rihB	948
group_1442	510
group_2343	777
group_2005	1926
group_2363	894
group_1566	264
group_683	1674
group_999	1482
group_1657	216
group_1138	2028
group_950	1485
group_1359	1350
group_954	1482
group_2104	1635
group_332	1170
phoP	750
glgB	2283
cdnL	627
group_572	1113
pldB	1188
group_1993	522
group_2057	798
yqxC~~~ftsJ	864
recN	1797
group_1879	774
group_1050	705
cas3	2856
casA	1671
cas7e	1089
cas5e	876
cas1e	942
group_237	1455
group_2029	948
gntT	1341
group_2243	834
group_1802	1146
group_722	462
group_1612	1272
group_2401	387
group_930	1815
group_893	1023
rmuC	1341
group_794	1020
vly	1551
gatC	357
pheA	396
group_2388	954
group_503	717
group_924	480
group_867	429
mafI	297
group_1066	1185
ppiB	540
group_701	1698
group_2402	279
group_1169	1401
group_2052	621
group_855	855
apt~~~xpt	678
group_828	432
group_1089	1740
group_256	6378
group_2028	1071
group_800	441
group_1598	255
group_443	519
group_251	435
araJ	1452
group_2403	8805
group_129	684
group_1909	1044
group_1878	1077
folA	639
murG	1245
group_1266	738
group_128	225
sdaA	1530
group_1208	1392
group_1126	1404
group_215	777
rfbA	900
group_1959	996
group_564	1209
group_1870	837
coaE	120
group_1900	138
rsfS	486
group_469	564
copG	291
group_1452	279
maf	1488
group_1511	1824
group_1533	588
abiF	855
ligA	2955
group_1377	1374
group_1433	1278
group_1351	1764
group_2398	726
group_1969	987
group_1027	1446
group_70	714
group_1974	984
group_1990	969
group_94	702
group_2294	804
group_2146	873
group_1962	822
lytS	675
lacI	1893
lepB	954
group_2214	162
group_2389	903
group_160	1101
group_971	2481
pcp	684
gltX	1596
gtrA	585
group_864	363
higA	366
group_1058	2037
group_1180	1398
group_331	615
group_1694	192
group_2252	828
group_898	1524
group_868	1809
ftsW	1398
group_594	2436
map	774
group_505	405
group_1791	120
xRE	201
mfd	3708
group_2315	1044
group_1432	285
group_199	441
group_1123	1416
group_2339	1020
group_673	1680
group_264	636
group_2147	873
group_1677	207
group_1943	1011
group_1018	1449
group_862	1551
group_1225	765
group_755	456
group_1631	231
gyrA	2688
group_1197	330
group_2400	183
group_816	657
group_1234	951
group_1908	429
aroQ	552
group_928	531
alaS	2688
pcrA	3099
group_643	1704
group_2059	732
sufB	1590
group_1568	264
cysS	1689
sAM1	1587
yIH1	651
group_639	2517
group_1479	276
group_1803	1146
group_1254	1476
group_382	1905
atpD	1488
group_453	297
group_2393	639
group_1727	177
group_519	1803
group_1880	1077
group_774	450
group_715	1191
nfnB	711
group_307	1782
group_412	1998
malG	936
group_24	7188
group_2182	843
group_1508	735
group_73	897
group_2227	1089
tsaB	813
priA	2505
yciV	960
group_362	1800
group_1232	510
group_268	177
group_301	594
group_231	1185
group_1938	2031
tyrS	1323
group_543	531
group_2368	1860
group_2404	609
group_2405	834
group_2406	2178
group_642	1095
group_1616	240
group_2469	1077
yifB	1686
aes	852
group_2289	2094
thiD	1704
group_37	300
group_1592	258
group_1231	1038
vbhA	186
group_5	1944
group_2295	618
group_177	8973
trmH~~~spoU	1047
mdoB	2082
group_460	654
group_829	429
group_1506	1446
group_907	1497
group_1127	1635
group_1118	723
group_1074	1326
ppnN	873
hinT	369
group_1810	93
gltD	1509
group_1767	144
group_1770	261
group_2408	399
group_2024	414
group_1843	291
group_1841	2214
group_203	309
group_1354	1134
group_1290	225
group_1185	243
group_1720	1191
group_2069	921
group_1687	201
group_103	1773
group_521	1449
group_316	618
group_2013	471
pgpB	699
group_2119	540
group_86	2376
group_2410	237
group_2411	603
group_2409	1107
group_1466	780
group_1789	126
znuC	855
group_226	741
group_1385	1341
group_1110	1215
group_2413	1095
group_2412	546
group_649	1044
group_1497	1317
group_1913	1038
group_429	1935
pM0699	3060
group_2020	279
group_1586	909
group_945	1791
group_2358	1755
spo0J	1365
rnpA	552
group_1245	351
group_1910	411
group_206	1290
group_230	192
group_500	552
rplA	696
rplK	465
group_609	306
group_771	336
group_1117	150
group_261	249
lgt	960
group_1904	1329
group_2281	1401
group_2279	456
mngB	3183
group_814	1221
cas1	909
dprA	1557
group_2080	594
group_240	285
ftsQ	1212
group_495	846
group_497	591
group_1998	438
group_1828	1122
group_118	726
nth	714
group_2006	408
group_527	492
group_1682	1215
rbfA	561
group_317	618
group_1384	1122
xth	894
group_2344	738
group_227	813
aroB	1752
group_576	2598
group_2414	174
group_817	1107
group_1116	1311
lolD	813
group_623	498
group_739	459
group_1722	180
group_2078	912
group_269	831
group_714	786
group_511	441
group_454	561
tauE	828
group_1307	411
group_790	549
group_2070	921
group_2140	429
group_2407	1125
rpmA	252
clcA	1530
sepH	1356
group_250	576
group_1605	249
group_1944	1011
ylbF	357
group_741	459
group_1567	324
group_95	702
group_529	537
group_1516	420
group_1228	498
group_1101	351
group_1060	1452
group_2283	894
yraQ	1161
group_1558	483
group_1494	204
group_593	1098
group_2337	282
group_1831	651
group_608	504
group_1453	279
group_2326	96
group_257	1728
rimL	972
group_287	1104
group_938	1443
yeiH	1062
tgt	1338
group_2084	8883
group_190	2445
group_1090	1710
yhcG	1491
group_1637	228
group_173	108
group_1820	78
group_1945	1011
group_1658	216
group_2000	633
group_1104	987
group_1049	177
ataC	1218
group_1255	264
epsC	894
ftsH	2865
thrB	1104
group_757	456
mrcB	2412
group_787	759
group_956	1638
group_2365	291
group_903	1152
group_1521	1548
metN~~~abcC	885
group_796	1644
group_1	756
group_2149	948
zapA	168
group_1712	186
group_288	180
group_2074	111
group_2071	921
group_1617	1269
group_467	558
tetM	1920
group_1817	87
group_1474	681
group_2259	3351
group_2318	795
group_1855	1095
group_1781	1158
group_1734	174
tadE	516
yggS	813
group_901	1176
group_902	954
group_1545	3888
group_2416	228
group_2415	672
group_2417	93
group_161	3591
group_308	1251
group_1877	642
group_2419	1122
group_2418	576
group_2027	198
group_2208	1359
group_978	1641
iS285~~~tnp	1095
trmB	954
group_534	5748
group_245	510
group_1916	750
group_2423	1092
group_2429	747
group_2434	1875
group_2424	1296
group_2433	954
group_2421	1779
group_2426	1257
group_2432	846
group_2422	1251
group_2420	2340
group_2427	1143
group_2428	936
group_2431	1842
group_2425	933
group_2430	2160
group_387	2532
group_595	2076
group_2248	987
mvaD	1158
group_1229	5229
group_1061	1161
group_1957	984
group_254	303
group_987	1197
group_2181	7299
group_1141	846
group_709	1530
group_974	1410
group_881	279
group_2293	1776
pncA	555
group_754	834
ydiL	1011
thrA	1392
group_559	933
group_342	1428
group_763	378
group_860	249
group_1235	1023
tyrA	1092
group_378	8895
group_75	924
group_1471	783
rpmC	252
group_684	2073
group_1700	1203
group_2260	261
group_1173	726
group_1182	1035
group_2031	126
group_1960	393
group_1856	654
group_1456	1227
group_506	2229
gsiA	2406
mprF2	2757
yjjB	1806
group_474	960
ftsL	642
group_276	633
group_283	306
abcf	1443
group_1538	990
group_1564	2190
group_510	1818
group_1659	216
group_377	1590
group_1319	6297
nhaP	2064
group_962	1725
topA	2901
gntK	540
group_517	5097
uvrD	4311
group_616	729
mraZ	798
gyrB	2445
nadK	1080
group_1017	975
group_2180	879
ugpB	1500
ulaA	1422
group_2003	282
group_1230	321
esxA	294
fes	1380
hisM~~~hisJ	1551
serB	720
group_1691	195
group_1012	234
holA	990
group_306	1833
group_2111	891
tauC	855
group_2372	831
znuB	1005
group_89	3162
group_1818	1140
group_1929	1023
hsdM	1569
efiE	765
group_168	672
group_1520	1137
group_2007	285
group_652	672
group_239	138
group_2218	273
group_765	1698
group_1941	1014
group_808	438
group_1085	288
group_63	1380
rsmD	591
group_131	2775
group_1711	1197
lCB5	1155
fdxA	459
group_183	729
group_1546	954
dedA	696
argS	1797
valS	2787
fTR1	1767
group_184	2580
dnaX	2358
group_1958	999
group_2155	867
group_1937	1017
group_1666	213
group_1507	1311
relB	297
group_2199	2328
dnaA	1737
group_1005	1332
group_2083	2733
fliS	1197
group_834	441
group_2331	711
group_1362	2268
group_156	675
group_385	2046
group_1503	1209
pepD	1611
rsmI	906
group_1593	3624
group_18	1695
group_949	1182
group_2386	825
perM	1665
group_247	1089
group_1899	5808
group_1649	222
group_584	1944
group_2121	729
group_1771	141
bspA	2325
group_493	1449
ecfA2	819
eutG	1134
group_2319	1212
phoH	1317
group_857	600
kup	2598
group_883	3333
cinA	801
group_404	642
group_2280	2565
group_1283	546
group_225	3879
group_58	1209
group_1891	480
group_2435	528
group_2470	1128
group_1136	273
group_1080	327
group_2436	1212
group_1792	120
group_1678	207
group_621	1716
group_1644	225
group_2025	1152
group_530	537
group_1445	282
group_967	390
group_430	573
group_439	1923
group_2035	1179
group_1821	66
ermX	855
group_431	573
group_1439	285
group_265	636
group_629	1713
xFP	2478
menA	1101
group_355	1893
group_462	1431
group_813	702
srkA	1242
group_1164	2514
group_1948	5901
group_2437	273
group_2438	4554
group_2086	4761
group_2193	771
group_2183	7374
group_947	1488
group_1496	1962
group_470	381
degQ	1893
group_29	3027
group_1504	318
ycgQ	852
pTC1	1770
group_2200	2613
mutT	1248
group_83	3342
group_1826	1131
group_782	1608
group_1650	222
group_1249	318
group_762	453
group_2065	927
group_125	405
group_2394	309
group_2077	891
group_1004	624
group_1561	1299
nrdF	1110
opcA	1005
group_2290	1464
yfiH	981
group_255	2358
group_2229	1116
group_2185	1167
mvk	1173
group_234	1290
group_587	984
rpmF	753
xerD~~~xerC	1146
group_444	1167
group_657	474
group_396	513
group_1056	249
group_1759	153
group_1752	1173
group_106	699
group_2251	1215
nagD	1101
group_2381	792
group_1227	2355
ispA	1104
tolA	1047
group_1811	93
recF	1371
group_1893	2454
group_1873	261
group_1988	4050
group_1670	210
group_776	1806
group_1244	1383
group_402	972
group_2357	960
ftsY	1212
group_1400	291
gatA	1542
group_1151	339
group_1918	912
group_1575	1293
group_637	495
group_1875	1059
xerD	834
atpF	543
group_88	705
group_1626	234
group_369	603
group_1613	243
group_1607	246
group_1619	240
group_2008	960
group_1786	129
group_694	474
group_1653	222
group_1930	1023
group_2014	957
group_448	1902
group_1627	1254
group_870	420
group_966	1368
group_1013	237
group_1153	504
nrdH	261
group_781	1338
group_2242	2481
group_2148	1914
group_1624	1257
group_1790	123
group_1606	1278
group_2145	1098
rimM	636
group_1446	687
group_1025	2115
rpsD	711
group_2223	1659
group_1294	708
group_1942	1014
group_1915	195
group_1042	2805
group_16	744
group_79	3453
aspS	1947
group_153	2352
group_628	792
group_602	507
group_1615	243
group_553	525
group_384	594
group_1576	1293
group_1073	363
group_174	669
group_552	1374
group_2109	840
group_1358	852
group_1248	618
group_1934	1935
group_475	333
yafQ	186
group_700	3573
group_2142	423
group_243	705
group_1980	978
group_702	1197
group_904	1674
group_1968	1233
group_449	705
acrR	573
group_638	495
group_899	411
group_508	1821
group_1361	1350
group_1905	1047
group_704	294
group_501	552
yjhB	486
group_2439	153
group_1512	1284
group_2089	1299
group_1714	186
group_65	720
group_1881	1074
group_1947	1962
group_2011	1377
group_1008	378
group_1621	1263
cysK	933
group_2156	867
group_2269	957
group_340	612
group_1155	627
group_464	1884
group_1784	132
group_145	2706
group_368	2091
group_2041	942
group_6	753
group_23	741
group_1661	1230
group_132	684
group_422	1971
luxR~~~citB	786
group_2327	786
group_1695	192
group_1203	1707
group_1195	228
group_1702	189
group_929	1137
group_209	660
group_1804	105
group_1696	192
group_1178	333
group_2048	936
yozG	243
group_1608	246
group_1935	708
group_390	327
group_1273	861
group_408	1038
group_133	1023
group_134	291
group_1472	891
group_364	2097
group_2055	933
group_480	1860
group_2044	939
group_1788	1155
group_280	2304
group_1633	1251
group_2216	846
group_1625	1257
group_555	1773
group_1992	969
group_809	438
group_1040	513
group_728	372
group_259	1863
amyA	1380
group_2247	1062
group_1020	1335
metG	1872
group_244	645
group_104	735
group_2210	1755
tetR	747
group_1289	1665
group_328	2322
group_2150	402
group_567	285
group_205	225
group_2314	735
group_522	165
group_717	2826
group_560	672
group_532	534
group_1326	213
group_1363	1620
group_1372	411
group_1515	1578
group_1463	726
group_2275	1827
group_615	1722
group_411	585
group_2102	900
group_54	4398
tnp	1095
group_1321	303
group_706	468
group_1022	375
group_2167	861
group_678	480
mobF	4536
group_557	525
group_2299	804
traM	1911
group_789	1605
prgI	1434
trbL	1557
trbC	300
group_1332	300
group_1743	1176
group_1375	1344
group_970	1470
group_1449	282
group_2092	903
group_2141	879
group_169	672
group_1052	1440
ycgM	816
group_2038	3402
group_285	630
pA5055	288
group_417	516
group_2098	1350
yigZ	669
ruvX	516
thyA	873
wzb	555
group_38	5661
xseB	351
group_578	1215
group_2342	270
insO	906
group_1830	633
group_1835	1131
group_1838	2904
group_1839	792
group_1840	369
group_2324	786
group_1651	1236
group_1744	165
group_1845	1185
group_1460	279
group_1846	381
group_873	420
group_2441	921
group_2443	411
group_2442	213
group_2440	1596
group_2444	297
group_1179	705
group_1112	780
group_1924	93
group_1129	105
group_1397	1641
