Gene,Non-unique Gene name,Annotation,Gardnerella_greenwoodii_00703Dmash,Gardnerella_greenwoodii_101,Gardnerella_greenwoodii_c31Ua_26,Gardnerella_greenwoodii_UMB1686,Gardnerella_leopoldii_Ugent_06.41,Gardnerella_leopoldii_UMB0682,Gardnerella_leopoldii_UMB0742,Gardnerella_leopoldii_UMB0913,Gardnerella_leopoldii_UMB1489,Gardnerella_pickettii_00703Bmash,Gardnerella_pickettii_00703C2mash,Gardnerella_pickettii_c17Ua_112,Gardnerella_pickettii_GED7275B,Gardnerella_pickettii_JCP7659,Gardnerella_pickettii_JCP7719,Gardnerella_pickettii_JCP8017A,Gardnerella_pickettii_JCP8017B,Gardnerella_pickettii_UMB0830,Gardnerella_pickettii_UMB0833,Gardnerella_pickettii_UMB9259,Gardnerella_piotii_GH007,Gardnerella_piotii_GH020,Gardnerella_piotii_JNFY15,Gardnerella_piotii_UGent_18.01,Gardnerella_swidsinskii_GS_9838-1,Gardnerella_swidsinskii_GV37,Gardnerella_swidsinskii_JNFY3,Gardnerella_swidsinskii_UMB0170,Gardnerella_swidsinskii_UMB0264,Gardnerella_swidsinskii_UMB0411,Gardnerella_swidsinskii_UMB1698,Gardnerella_vaginalis_0288E,Gardnerella_vaginalis_1400E,Gardnerella_vaginalis_1500E,Gardnerella_vaginalis_284V,Gardnerella_vaginalis_315-A,Gardnerella_vaginalis_55152,Gardnerella_vaginalis_6119V5,Gardnerella_vaginalis_75712,Gardnerella_vaginalis_ATCC_14018-2,Gardnerella_vaginalis_ATCC_14018-3,Gardnerella_vaginalis_ATCC_14018,Gardnerella_vaginalis_ATCC_14019,Gardnerella_vaginalis_HMP9231
gpmA,gpmA,phosphoglyceromutase,KJLOJH_02750,LNJOGA_01395,HJJLOO_01850,EPDCMN_03565,GPKCOC_00800,IHLOPM_05330,CLAOCJ_03860,GHNAGB_01990,IJGNPO_01965,KPEAED_01020,ELBENF_02385,LGGJCL_00955,DIAHAC_01085,IBBMBI_04740,EIINPM_04070,EHJGFL_05575,IKLBLD_03910,LFGIBF_04930,BMHCBD_04780,HEOCGC_04510,HIANCF_05605,PHGDKJ_04910,LJKDMD_01595,LEAIBD_04790,AJAHNJ_02110,PKJNEJ_02065,AMDBBD_05110,GPDHPC_03940,JCPCII_04460,NBEOAO_02780,PCCNPO_03030,PHLMCF_02100,PKBKFP_04205,PIBPLO_04365,ANPMBA_01960,BAFCMA_04055,BLBGDF_03885,EHBDBJ_04275,HJLJNF_05505,BAJPIG_05015,APGEGG_00370,NEBDOP_01990,MGPBOF_02655,DFCAKE_04970
group_2202,glnQ,ABC-type polar amino acid transport system ATPase component,KJLOJH_04355,LNJOGA_03190,HJJLOO_00335,EPDCMN_02050,GPKCOC_02770,IHLOPM_02100,CLAOCJ_02250,GHNAGB_03680,IJGNPO_03590,KPEAED_02495,ELBENF_04330,LGGJCL_02195,DIAHAC_05405,IBBMBI_04305,EIINPM_03020,EHJGFL_03510,IKLBLD_01485,LFGIBF_03595,BMHCBD_00605,HEOCGC_02590,HIANCF_00675,PHGDKJ_03590,LJKDMD_00205,LEAIBD_03510,AJAHNJ_02440,PKJNEJ_04565,AMDBBD_00600,GPDHPC_00465,JCPCII_02100,NBEOAO_00955,PCCNPO_02025,PHLMCF_05030,PKBKFP_06350,PIBPLO_01140,ANPMBA_00095,BAFCMA_02585,BLBGDF_01325,EHBDBJ_04790,HJLJNF_04020,BAJPIG_03570,APGEGG_02560,NEBDOP_03445,MGPBOF_04135,DFCAKE_03615
hisS,hisS,histidine--tRNA ligase,KJLOJH_04345,LNJOGA_03180,HJJLOO_00345,EPDCMN_02060,GPKCOC_02760,IHLOPM_02110,CLAOCJ_02260,GHNAGB_03670,IJGNPO_03580,KPEAED_02505,ELBENF_04320,LGGJCL_02205,DIAHAC_05395,IBBMBI_00450,EIINPM_03010,EHJGFL_03520,IKLBLD_01475,LFGIBF_03585,BMHCBD_00615,HEOCGC_02580,HIANCF_00685,PHGDKJ_03580,LJKDMD_00195,LEAIBD_03500,AJAHNJ_02430,PKJNEJ_04555,AMDBBD_00590,GPDHPC_00475,JCPCII_02110,NBEOAO_00965,PCCNPO_02035,PHLMCF_05020,PKBKFP_06360,PIBPLO_01150,ANPMBA_00085,BAFCMA_02575,BLBGDF_01335,EHBDBJ_04780,HJLJNF_04010,BAJPIG_03560,APGEGG_02570,NEBDOP_03455,MGPBOF_04145,DFCAKE_03605
group_2173,;znuB,ABC transporter;ABC 3 transport family protein;ABC-type Mn2+/Zn2+ transport system permease component,KJLOJH_04635,LNJOGA_03480,HJJLOO_00045,EPDCMN_01760,GPKCOC_03050,IHLOPM_01820,CLAOCJ_01965,GHNAGB_03960,IJGNPO_03870,KPEAED_03910,ELBENF_01045,LGGJCL_02840,DIAHAC_04765,IBBMBI_00785,EIINPM_00470,EHJGFL_02940,IKLBLD_06625,LFGIBF_02960,BMHCBD_01250,HEOCGC_04280,HIANCF_01300,PHGDKJ_02975,LJKDMD_05715,LEAIBD_02925,AJAHNJ_02715,PKJNEJ_04840,AMDBBD_00875,GPDHPC_00190,JCPCII_01830,NBEOAO_00675,PCCNPO_01750,PHLMCF_05360,PKBKFP_01715,PIBPLO_05170,ANPMBA_00820,BAFCMA_03275,BLBGDF_03175,EHBDBJ_05085,HJLJNF_04745,BAJPIG_04265,APGEGG_04920,NEBDOP_02750,MGPBOF_03435,DFCAKE_04280
hrcA,hrcA,heat-inducible transcriptional repressor HrcA,KJLOJH_04865,LNJOGA_03715,HJJLOO_02785,EPDCMN_01505,GPKCOC_03285,IHLOPM_01585,CLAOCJ_01730,GHNAGB_04195,IJGNPO_04105,KPEAED_02600,ELBENF_04225,LGGJCL_02300,DIAHAC_05300,IBBMBI_00355,EIINPM_02915,EHJGFL_03615,IKLBLD_01380,LFGIBF_03490,BMHCBD_00710,HEOCGC_02485,HIANCF_00800,PHGDKJ_03470,LJKDMD_00100,LEAIBD_03405,AJAHNJ_02995,PKJNEJ_05085,AMDBBD_01120,GPDHPC_03120,JCPCII_02635,NBEOAO_00390,PCCNPO_01465,PHLMCF_05215,PKBKFP_06165,PIBPLO_01665,ANPMBA_00280,BAFCMA_02770,BLBGDF_01135,EHBDBJ_05330,HJLJNF_04205,BAJPIG_03755,APGEGG_02375,NEBDOP_03260,MGPBOF_03945,DFCAKE_03800
pyk,pyk,pyruvate kinase,KJLOJH_03680,LNJOGA_02565,HJJLOO_01000,EPDCMN_02715,GPKCOC_02015,IHLOPM_02830,CLAOCJ_02975,GHNAGB_02875,IJGNPO_02830,KPEAED_01600,ELBENF_03670,LGGJCL_01350,DIAHAC_00690,IBBMBI_05645,EIINPM_06205,EHJGFL_05365,IKLBLD_04020,LFGIBF_04320,BMHCBD_04310,HEOCGC_00445,HIANCF_06010,PHGDKJ_04505,LJKDMD_01050,LEAIBD_04390,AJAHNJ_04765,PKJNEJ_03415,AMDBBD_06230,GPDHPC_01415,JCPCII_03570,NBEOAO_01780,PCCNPO_05340,PHLMCF_04330,PKBKFP_00435,PIBPLO_02855,ANPMBA_03415,BAFCMA_01890,BLBGDF_05780,EHBDBJ_01250,HJLJNF_03325,BAJPIG_02850,APGEGG_03285,NEBDOP_04165,MGPBOF_04880,DFCAKE_02895
group_2163,coaE;,dephospho-CoA kinase;Dephospho-CoA kinase,KJLOJH_03210,LNJOGA_02550,HJJLOO_01015,EPDCMN_02730,GPKCOC_01995,IHLOPM_02850,CLAOCJ_02990,GHNAGB_02860,IJGNPO_02810,KPEAED_01555,ELBENF_03575,LGGJCL_01320,DIAHAC_00720,IBBMBI_03650,EIINPM_06160,EHJGFL_01190,IKLBLD_04735,LFGIBF_04275,BMHCBD_04355,HEOCGC_04875,HIANCF_05990,PHGDKJ_04525,LJKDMD_01070,LEAIBD_04410,AJAHNJ_04755,PKJNEJ_03405,AMDBBD_06220,GPDHPC_01425,JCPCII_03560,NBEOAO_01790,PCCNPO_05330,PHLMCF_04320,PKBKFP_00400,PIBPLO_02845,ANPMBA_03425,BAFCMA_01880,BLBGDF_05790,EHBDBJ_01240,HJLJNF_03315,BAJPIG_02840,APGEGG_03295,NEBDOP_04175,MGPBOF_04890,DFCAKE_02885
rpsG,;rpsG,30S ribosomal protein S7;Small ribosomal subunit protein uS7 domain-containing protein,KJLOJH_05560,LNJOGA_05745,HJJLOO_03715,EPDCMN_00575,GPKCOC_04000,IHLOPM_00660,CLAOCJ_01025,GHNAGB_04890,IJGNPO_04805,KPEAED_00635,ELBENF_02690,LGGJCL_00660,DIAHAC_01380,IBBMBI_01440,EIINPM_01955,EHJGFL_04590,IKLBLD_02360,LFGIBF_05235,BMHCBD_05085,HEOCGC_05775,HIANCF_05320,PHGDKJ_05185,LJKDMD_01860,LEAIBD_05065,AJAHNJ_03685,PKJNEJ_06085,AMDBBD_01955,GPDHPC_02440,JCPCII_04260,NBEOAO_05540,PCCNPO_00715,PHLMCF_02395,PKBKFP_03860,PIBPLO_02255,ANPMBA_01660,BAFCMA_04350,BLBGDF_04295,EHBDBJ_03735,HJLJNF_05795,BAJPIG_05315,APGEGG_00670,NEBDOP_01690,MGPBOF_02350,DFCAKE_05260
map,map,type I methionyl aminopeptidase,KJLOJH_05855,LNJOGA_06045,HJJLOO_03365,EPDCMN_00925,GPKCOC_03880,IHLOPM_01000,CLAOCJ_01135,GHNAGB_04780,IJGNPO_04695,KPEAED_01800,ELBENF_03410,LGGJCL_01540,DIAHAC_00495,IBBMBI_04860,EIINPM_03770,EHJGFL_05490,IKLBLD_04640,LFGIBF_04525,BMHCBD_04125,HEOCGC_00665,HIANCF_06235,PHGDKJ_04285,LJKDMD_00855,LEAIBD_04180,AJAHNJ_03565,PKJNEJ_05715,AMDBBD_01745,GPDHPC_02545,JCPCII_03755,NBEOAO_05650,PCCNPO_00835,PHLMCF_04520,PKBKFP_06865,PIBPLO_05675,ANPMBA_04205,BAFCMA_02080,BLBGDF_01845,EHBDBJ_04015,HJLJNF_03515,BAJPIG_03060,APGEGG_03075,NEBDOP_03955,MGPBOF_04650,DFCAKE_03100
nrdF,nrdF,class 1b ribonucleoside-diphosphate reductase subunit beta,KJLOJH_01395,LNJOGA_04895,HJJLOO_05255,EPDCMN_04555,GPKCOC_05965,IHLOPM_04270,CLAOCJ_04890,GHNAGB_00900,IJGNPO_00915,KPEAED_04255,ELBENF_06020,LGGJCL_04715,DIAHAC_03785,IBBMBI_02430,EIINPM_04390,EHJGFL_03915,IKLBLD_05035,LFGIBF_01015,BMHCBD_03250,HEOCGC_02020,HIANCF_03295,PHGDKJ_00990,LJKDMD_03855,LEAIBD_00965,AJAHNJ_01050,PKJNEJ_01015,AMDBBD_04065,GPDHPC_05425,JCPCII_00395,NBEOAO_03815,PCCNPO_04070,PHLMCF_00420,PKBKFP_03185,PIBPLO_06010,ANPMBA_05745,BAFCMA_00190,BLBGDF_05280,EHBDBJ_00890,HJLJNF_01520,BAJPIG_01170,APGEGG_04385,NEBDOP_05845,MGPBOF_06590,DFCAKE_00905
pta,pta,phosphate acetyltransferase,KJLOJH_03770,LNJOGA_02655,HJJLOO_00915,EPDCMN_02630,GPKCOC_02110,IHLOPM_02735,CLAOCJ_02875,GHNAGB_02970,IJGNPO_02925,KPEAED_00825,ELBENF_02190,LGGJCL_01150,DIAHAC_00890,IBBMBI_06130,EIINPM_03875,EHJGFL_04850,IKLBLD_05445,LFGIBF_04735,BMHCBD_04585,HEOCGC_04705,HIANCF_05805,PHGDKJ_04715,LJKDMD_01400,LEAIBD_04595,AJAHNJ_04850,PKJNEJ_03505,AMDBBD_06315,GPDHPC_01325,JCPCII_03660,NBEOAO_01690,PCCNPO_05425,PHLMCF_06495,PKBKFP_04405,PIBPLO_02945,ANPMBA_02160,BAFCMA_03855,BLBGDF_03685,EHBDBJ_01340,HJLJNF_05300,BAJPIG_04815,APGEGG_00165,NEBDOP_02195,MGPBOF_02860,DFCAKE_04765
guaA,guaA,glutamine-hydrolyzing GMP synthase,KJLOJH_03780,LNJOGA_02665,HJJLOO_00905,EPDCMN_02620,GPKCOC_02120,IHLOPM_02725,CLAOCJ_02865,GHNAGB_02980,IJGNPO_02935,KPEAED_00815,ELBENF_02180,LGGJCL_01160,DIAHAC_00880,IBBMBI_05740,EIINPM_01985,EHJGFL_04840,IKLBLD_05455,LFGIBF_04725,BMHCBD_04575,HEOCGC_04715,HIANCF_05815,PHGDKJ_04705,LJKDMD_01390,LEAIBD_04585,AJAHNJ_04860,PKJNEJ_03515,AMDBBD_06325,GPDHPC_01315,JCPCII_03670,NBEOAO_01680,PCCNPO_05435,PHLMCF_06485,PKBKFP_04415,PIBPLO_02960,ANPMBA_02170,BAFCMA_03845,BLBGDF_03675,EHBDBJ_01350,HJLJNF_05290,BAJPIG_04805,APGEGG_00155,NEBDOP_02205,MGPBOF_02870,DFCAKE_04755
pflA,pflA,pyruvate formate-lyase-activating protein,KJLOJH_04800,LNJOGA_03645,HJJLOO_02720,EPDCMN_01570,GPKCOC_03220,IHLOPM_01650,CLAOCJ_01795,GHNAGB_04130,IJGNPO_04040,KPEAED_06030,ELBENF_01145,LGGJCL_02975,DIAHAC_04635,IBBMBI_05150,EIINPM_00355,EHJGFL_02440,IKLBLD_03680,LFGIBF_02830,BMHCBD_01380,HEOCGC_05950,HIANCF_01415,PHGDKJ_02860,LJKDMD_05605,LEAIBD_02815,AJAHNJ_02930,PKJNEJ_05020,AMDBBD_01055,GPDHPC_00010,JCPCII_02700,NBEOAO_00455,PCCNPO_01535,PHLMCF_05735,PKBKFP_04700,PIBPLO_01735,ANPMBA_02435,BAFCMA_01135,BLBGDF_03415,EHBDBJ_05265,HJLJNF_05015,BAJPIG_04530,APGEGG_04655,NEBDOP_02485,MGPBOF_03160,DFCAKE_04490
group_2010,znuB,anchored repeat-type ABC transporter permease subunit,KJLOJH_00405,LNJOGA_00355,HJJLOO_04250,EPDCMN_00040,GPKCOC_04620,IHLOPM_00045,CLAOCJ_00420,GHNAGB_05505,IJGNPO_05415,KPEAED_00035,ELBENF_03870,LGGJCL_00035,DIAHAC_00020,IBBMBI_02335,EIINPM_02430,EHJGFL_01690,IKLBLD_03195,LFGIBF_05845,BMHCBD_05715,HEOCGC_00295,HIANCF_04690,PHGDKJ_05805,LJKDMD_02485,LEAIBD_05670,AJAHNJ_05485,PKJNEJ_06770,AMDBBD_02650,GPDHPC_01770,JCPCII_06035,NBEOAO_04855,PCCNPO_00035,PHLMCF_05835,PKBKFP_04945,PIBPLO_05050,ANPMBA_06495,BAFCMA_03380,BLBGDF_02570,EHBDBJ_00110,HJLJNF_06625,BAJPIG_06120,APGEGG_02265,NEBDOP_00880,MGPBOF_01535,DFCAKE_06075
rpsJ,rpsJ,30S ribosomal protein S10,KJLOJH_01810,LNJOGA_00810,HJJLOO_02425,EPDCMN_04140,GPKCOC_00140,IHLOPM_04665,CLAOCJ_04510,GHNAGB_01295,IJGNPO_01310,KPEAED_04650,ELBENF_05625,LGGJCL_04320,DIAHAC_04180,IBBMBI_02245,EIINPM_01620,EHJGFL_02035,IKLBLD_02895,LFGIBF_01420,BMHCBD_03660,HEOCGC_01625,HIANCF_02885,PHGDKJ_01390,LJKDMD_04250,LEAIBD_01360,AJAHNJ_01430,PKJNEJ_01395,AMDBBD_04440,GPDHPC_03260,JCPCII_00765,NBEOAO_03450,PCCNPO_03705,PHLMCF_00155,PKBKFP_02940,PIBPLO_04935,ANPMBA_05985,BAFCMA_00430,BLBGDF_05525,EHBDBJ_00490,HJLJNF_01785,BAJPIG_01435,APGEGG_04115,NEBDOP_05585,MGPBOF_06325,DFCAKE_01160
rpsD,rpsD,30S ribosomal protein S4,KJLOJH_02635,LNJOGA_01280,HJJLOO_02000,EPDCMN_03715,GPKCOC_00685,IHLOPM_05215,CLAOCJ_03975,GHNAGB_01835,IJGNPO_01850,KPEAED_05425,ELBENF_01695,LGGJCL_03590,DIAHAC_02430,IBBMBI_01860,EIINPM_04300,EHJGFL_00465,IKLBLD_04150,LFGIBF_02280,BMHCBD_06570,HEOCGC_00085,HIANCF_02045,PHGDKJ_02235,LJKDMD_05070,LEAIBD_02190,AJAHNJ_01990,PKJNEJ_01950,AMDBBD_04995,GPDHPC_03820,JCPCII_04340,NBEOAO_02895,PCCNPO_03145,PHLMCF_03825,PKBKFP_05315,PIBPLO_04505,ANPMBA_03940,BAFCMA_05375,BLBGDF_02180,EHBDBJ_04145,HJLJNF_02705,BAJPIG_02325,APGEGG_06075,NEBDOP_04690,MGPBOF_05430,DFCAKE_02120
